Title,Link,ID
LLUVIA DE ORO | EXPERIMENTO QUÍMICO,https://www.youtube.com/watch?v=16eDf6bj7Uw,16eDf6bj7Uw
ECUACIÓN DE VELOCIDAD Y ÓRDENES DE REACCIÓN | Cinética química,https://www.youtube.com/watch?v=3o_k57WivEY,3o_k57WivEY
¿QUÉ ES UN NUCLEÓFILO? | Química Orgánica,https://www.youtube.com/watch?v=ES5aCixkJkY,ES5aCixkJkY
E1: MECANISMO | ELIMINACION UNIMOLECULAR | Química Orgánica,https://www.youtube.com/watch?v=I7QSs-bRMTY,I7QSs-bRMTY
OBTENIENDO ACEITE DE COCO,https://www.youtube.com/watch?v=nsT_JdQX-z8,nsT_JdQX-z8
EXCEPCIONES DE LA CONFIGURACION ELECTRONICA | Química Básica,https://www.youtube.com/watch?v=5jidqh-VkEQ,5jidqh-VkEQ
ESPONTANEIDAD Y POTENCIALES DE REDUCCIÓN | Redox,https://www.youtube.com/watch?v=QBsQCEN5HeM,QBsQCEN5HeM
¿QUÉ ES UN CATALIZADOR? | CATÁLISIS,https://www.youtube.com/watch?v=j7YWtTWbb1g,j7YWtTWbb1g
EL ENLACE IÓNICO | Química Básica,https://www.youtube.com/watch?v=rhx8T5fDUU0,rhx8T5fDUU0
VALORACIÓN ÁCIDO-BASE: CÁLCULOS,https://www.youtube.com/watch?v=6cq2uKdIMwg,6cq2uKdIMwg
EJERCICIOS DE ORGÁNICA RESUELTOS | Halogenación de alcanos | 1,https://www.youtube.com/watch?v=MWc97YOxnWo,MWc97YOxnWo
QUÉ ESTUDIA LA QUÍMICA ANALÍTICA,https://www.youtube.com/watch?v=bg7xhxHCxSA,bg7xhxHCxSA
ESTEREOISÓMEROS | Química Básica,https://www.youtube.com/watch?v=qYObqPOaajs,qYObqPOaajs
MOLARIDAD | Química básica,https://www.youtube.com/watch?v=Oh7ml5q2HeY,Oh7ml5q2HeY
RUPTURA HOMOLÍTICA Y HETEROLÍTICA,https://www.youtube.com/watch?v=e-M2nz0KxZ4,e-M2nz0KxZ4
ESTUDIAR QUÍMICA EN LA UNIVERSIDAD,https://www.youtube.com/watch?v=h0mNb2zt0Os,h0mNb2zt0Os
MODELOS ATOMICOS | Química Básica,https://www.youtube.com/watch?v=_s4TttWFhu4,_s4TttWFhu4
OXISALES | Formulación Inorgánica | IUPAC 2005,https://www.youtube.com/watch?v=KC5fVVpXfJU,KC5fVVpXfJU
E2: MECANISMO | ELIMINACION BIMOLECULAR | Química Orgánica,https://www.youtube.com/watch?v=0TslRUTmD1Q,0TslRUTmD1Q
DESHIDRATACION DE ALCOHOLES | Química Orgánica,https://www.youtube.com/watch?v=t2Sm3wE2RAM,t2Sm3wE2RAM
QUÉ ES LA CONCENTRACIÓN | Química básica,https://www.youtube.com/watch?v=KjtDayYvhw8,KjtDayYvhw8
¿QUÉ ES UN PRECIPITADO? | Química Básica,https://www.youtube.com/watch?v=gkQfEyVh9Cs,gkQfEyVh9Cs
ENERGÍA LIBRE DE GIBBS Y EQUILIBRIO | Química-Física,https://www.youtube.com/watch?v=zDcXlr9C4kw,zDcXlr9C4kw
ABUNDANCIA ISOTÓPICA Y MASA ATÓMICA RELATIVA | Química Básica,https://www.youtube.com/watch?v=dm4czxecifU,dm4czxecifU
CARGA ATÓMICA O FORMAL | Química Básica,https://www.youtube.com/watch?v=qcMm63tZUc4,qcMm63tZUc4
SEGUNDO PRINCIPIO DE LA TERMODINÁMICA | Termodinámica,https://www.youtube.com/watch?v=aAqq08il6NQ,aAqq08il6NQ
AJUSTE DE REACCIONES REDOX | Medio ácido,https://www.youtube.com/watch?v=9gSo1B8Ew4c,9gSo1B8Ew4c
HIBRIDACIÓN SP3 | Química Básica,https://www.youtube.com/watch?v=g5S5_XcM8us,g5S5_XcM8us
PARAMAGNETISMO Y DIAMAGNETISMO,https://www.youtube.com/watch?v=DlUlYw7E_mI,DlUlYw7E_mI
TIPOS DE SISTEMAS TERMODINAMICOS | Termodinámica,https://www.youtube.com/watch?v=fJyzPN3GLU8,fJyzPN3GLU8
ESTRUCTURA ATÓMICA | Química Básica,https://www.youtube.com/watch?v=OxRHxeMLbRE,OxRHxeMLbRE
ADICIÓN DE HALUROS DE HIDRÓGENO A ALQUENOS | Química Orgánica,https://www.youtube.com/watch?v=z-hVR2MM_sg,z-hVR2MM_sg
NOMENCLATURA E/Z DE ALQUENOS | Formulación Orgánica,https://www.youtube.com/watch?v=viFdiML42k0,viFdiML42k0
EJERCICIOS DE ORGÁNICA RESUELTOS | Haloalcanos SN1 SN2 E1 E2 | 3,https://www.youtube.com/watch?v=sV3qqZPTfm0,sV3qqZPTfm0
¿QUÉ ES UN MECANISMO DE REACCIÓN?,https://www.youtube.com/watch?v=z7d6vWJq8-o,z7d6vWJq8-o
DISOLUCIONES REGULADORAS | Ejercicios Resueltos,https://www.youtube.com/watch?v=ZXEqKA9v8ws,ZXEqKA9v8ws
ELECTROLISIS | Experimento Químico,https://www.youtube.com/watch?v=S4e6DC9albA,S4e6DC9albA
HIBRIDACIÓN SP2 | Química Básica,https://www.youtube.com/watch?v=siKcC-qfCRY,siKcC-qfCRY
EJERCICIO RESUELTO TABLAS DE ESTRUCTURA ATOMICA,https://www.youtube.com/watch?v=CR5U-v-JA9k,CR5U-v-JA9k
AJUSTE DE REACCIONES REDOX | Medio básico,https://www.youtube.com/watch?v=oJYDKT-41zs,oJYDKT-41zs
TIPOS DE VARIABLES Y FUNCIONES DE ESTADO | Termodinámica,https://www.youtube.com/watch?v=xZSqXX7pZvk,xZSqXX7pZvk
EFECTO INDUCTIVO | Química Orgánica,https://www.youtube.com/watch?v=2KkF-i-RKxA,2KkF-i-RKxA
ESTADOS DE OXIDACIÓN EN MOLÉCULAS ORGÁNICAS | Química Orgánica,https://www.youtube.com/watch?v=TMUjRZlUK38,TMUjRZlUK38
SN2: FACTORES Y CONDICIONES | SUSTITUCIÓN NUCLEOFÍLICA | Química Orgánica,https://www.youtube.com/watch?v=f7jx48reZDY,f7jx48reZDY
NORMALIDAD | Química básica,https://www.youtube.com/watch?v=Y4x3ZaJfhd0,Y4x3ZaJfhd0
EFECTO DEL ION COMÚN | Equilibrio,https://www.youtube.com/watch?v=SUVIiInX1AI,SUVIiInX1AI
ENTALPÍAS DE FORMACIÓN Y COMBUSTIÓN | Termodinámica,https://www.youtube.com/watch?v=xb4uwj-vXYE,xb4uwj-vXYE
EQUILIBRIO QUIMICO | Experimento,https://www.youtube.com/watch?v=A5CUnunMc9c,A5CUnunMc9c
QUE ES LA ADICION ELECTROFÍLICA | Química orgánica,https://www.youtube.com/watch?v=PpkV3TgRtJU,PpkV3TgRtJU
FORMAS RESONANTES | FENOL | Explicado,https://www.youtube.com/watch?v=cWuPCnqYFe4,cWuPCnqYFe4
LEY DE HESS | Termodinámica,https://www.youtube.com/watch?v=nY33S3zFOu4,nY33S3zFOu4
Estados excitados | Química Básica,https://www.youtube.com/watch?v=kkU3NrSuQYw,kkU3NrSuQYw
REACCIONES RADICALARIAS: MECANISMO | Química Orgánica,https://www.youtube.com/watch?v=of2ZXdqLqtI,of2ZXdqLqtI
OXOÁCIDOS. formulación tradicional y de hidrógeno | Formulación Inorgánica | IUPAC 2005,https://www.youtube.com/watch?v=V_Z-8zDfXsM,V_Z-8zDfXsM
FLUORESCENCIA VS FOSFORESCENCIA | Química Básica,https://www.youtube.com/watch?v=nAw0PnareLk,nAw0PnareLk
HIDRÓGENO | ELEMENTO 1,https://www.youtube.com/watch?v=XX-N9q3_PNs,XX-N9q3_PNs
Relación entre Kp y Kc | Equilibrio químico,https://www.youtube.com/watch?v=g_AvdeiOqhQ,g_AvdeiOqhQ
VELOCIDAD DE UN GAS Y LA TEMPERATURA | Química-Física,https://www.youtube.com/watch?v=qG_brwwX32A,qG_brwwX32A
ESTADOS EXCITADOS O FUNDAMENTALES | 8 | Ejercicio de química resuelto,https://www.youtube.com/watch?v=Lh8HvB4OOxY,Lh8HvB4OOxY
CICLO DE BORN HABER Y ENERGÍA RETICULAR | Química Básica,https://www.youtube.com/watch?v=8aiV0Pa3QVk,8aiV0Pa3QVk
MASA MOLECULAR DE UN GAS | Química-Física,https://www.youtube.com/watch?v=WXvMmlCoCFo,WXvMmlCoCFo
CONFIGURACIÓN ELECTRÓNICA Y DIAGRAMA DE MOELLER | Química Básica,https://www.youtube.com/watch?v=jesE9zsVwRc,jesE9zsVwRc
